embryo_id,bf_f_infocus,if_zsum,Score_str,Uniformly_sampled_timepoint,cv0_split0,cv0_split1,cv0_split2,cv0_split3,cv0_split4,cv1_split0,cv1_split1,cv1_split2,cv1_split3,cv1_split4,cv2_split0,cv2_split1,cv2_split2,cv2_split3,cv2_split4,cv3_split0,cv3_split1,cv3_split2,cv3_split3,cv3_split4,cv4_split0,cv4_split1,cv4_split2,cv4_split3,cv4_split4
ds1_000,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_000.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_000.tif,abnormal,145,train,train,test,train,train,test,train,train,train,train,train,train,train,train,test,val,test,train,train,train,test,train,train,train,train
ds1_001,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_001.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_001.tif,abnormal,145,val,train,test,train,train,val,test,val,train,train,val,train,train,train,test,train,val,train,test,train,train,test,train,train,train
ds1_002,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_002.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_002.tif,abnormal,140,train,train,val,test,train,train,train,val,train,test,train,train,train,test,train,test,train,train,train,train,train,test,train,val,val
ds1_003,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_003.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_003.tif,abnormal,138,test,val,train,train,val,train,test,train,val,train,test,train,train,train,train,train,test,val,train,train,val,val,train,train,test
ds1_004,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_004.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_004.tif,abnormal,140,train,test,train,train,val,train,train,train,test,train,train,train,test,train,train,train,test,train,train,train,train,test,train,train,train
ds1_005,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_005.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_005.tif,abnormal,125,train,test,train,train,train,train,test,train,val,val,val,train,test,train,train,train,train,val,train,test,train,test,train,val,train
ds1_006,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_006.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_006.tif,abnormal,126,train,test,train,train,train,train,test,train,train,train,test,train,train,train,train,train,train,test,train,train,train,train,train,train,test
ds1_007,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_007.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_007.tif,normal,113,train,train,train,test,train,train,train,train,test,train,val,train,train,train,test,val,test,train,train,train,train,test,train,train,train
ds1_008,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_008.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_008.tif,normal,130,test,train,train,val,train,train,train,train,test,train,val,train,train,test,train,train,train,test,val,train,test,train,train,train,train
ds1_009,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_009.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_009.tif,normal,130,train,train,train,test,train,train,train,val,train,test,train,test,train,train,val,train,test,train,train,train,val,train,train,test,train
ds1_010,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_010.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_010.tif,abnormal,126,val,test,train,train,train,test,train,train,train,val,train,val,test,train,train,train,train,val,test,train,test,val,train,train,train
ds1_011,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_011.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_011.tif,abnormal,138,train,train,train,train,test,train,val,train,val,test,test,train,train,val,train,test,train,train,train,train,train,train,train,train,test
ds1_012,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_012.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_012.tif,abnormal,143,test,train,train,train,train,train,val,test,val,train,train,val,val,train,test,train,train,test,train,train,train,train,test,train,train
ds1_013,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_013.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_013.tif,normal,124,train,train,test,train,val,train,train,val,val,test,train,val,val,test,train,train,train,train,train,test,test,train,train,train,train
ds1_014,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_014.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_014.tif,normal,120,train,train,val,val,test,train,train,test,val,train,train,test,train,train,train,val,train,train,test,val,train,test,train,train,train
ds1_015,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_015.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_015.tif,abnormal,151,test,train,train,train,train,train,test,val,train,train,val,val,val,train,test,val,test,train,train,train,train,val,train,test,val
ds1_016,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_016.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_016.tif,abnormal,141,train,train,train,train,test,train,test,val,train,train,train,test,train,val,val,test,train,val,train,train,test,train,train,val,train
ds1_017,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_017.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_017.tif,abnormal,140,test,train,val,train,train,test,train,train,train,val,train,train,test,train,val,train,test,train,train,train,train,train,test,train,val
