model,Accuracy,f1_score
Random,0.4777777777777778,0.3188405797101449
Random,0.4777777777777778,0.2878787878787879
Random,0.5277777777777778,0.3089430894308943
Random,0.5277777777777778,0.3307086614173228
Random,0.4555555555555555,0.3
Random,0.5166666666666667,0.3358778625954198
Random,0.4777777777777778,0.2878787878787879
Random,0.4833333333333333,0.2677165354330709
Random,0.4722222222222222,0.2857142857142857
Random,0.5055555555555555,0.3308270676691729
Random,0.5333333333333333,0.3636363636363636
Random,0.5111111111111111,0.3432835820895522
Random,0.5333333333333333,0.34375
Random,0.5222222222222223,0.3064516129032258
Random,0.5333333333333333,0.3114754098360656
Random,0.55,0.352
Random,0.4888888888888889,0.3333333333333333
Random,0.45,0.2877697841726618
Random,0.5166666666666667,0.3829787234042553
Random,0.4944444444444444,0.2945736434108527
Random,0.4888888888888889,0.352112676056338
Random,0.4666666666666667,0.2615384615384615
Random,0.4777777777777778,0.2985074626865671
Random,0.5055555555555555,0.3100775193798449
Random,0.4611111111111111,0.3216783216783216
Random,0.5,0.2857142857142857
Random,0.4722222222222222,0.2962962962962963
Random,0.5111111111111111,0.3888888888888889
Random,0.4777777777777778,0.2985074626865671
Random,0.4833333333333333,0.3111111111111111
Random,0.5611111111111111,0.3779527559055118
Random,0.5555555555555556,0.2857142857142857
Random,0.4833333333333333,0.2790697674418604
Random,0.4666666666666667,0.25
Random,0.5,0.2857142857142857
Random,0.5277777777777778,0.3884892086330935
Random,0.55,0.352
Random,0.4833333333333333,0.3111111111111111
Random,0.4555555555555555,0.2794117647058823
Random,0.4555555555555555,0.2794117647058823
Random,0.4944444444444444,0.2834645669291338
Random,0.5611111111111111,0.3577235772357723
Random,0.5111111111111111,0.3015873015873015
Random,0.4611111111111111,0.2595419847328244
Random,0.5333333333333333,0.3538461538461538
Random,0.5611111111111111,0.3577235772357723
Random,0.5944444444444444,0.376068376068376
Random,0.5,0.3382352941176471
Random,0.5888888888888889,0.4032258064516129
Random,0.4166666666666667,0.2446043165467626
Random,0.4944444444444444,0.2945736434108527
Random,0.5555555555555556,0.3846153846153846
Random,0.4944444444444444,0.3053435114503817
Random,0.4444444444444444,0.2753623188405797
Random,0.5055555555555555,0.288
Random,0.4722222222222222,0.2635658914728682
Random,0.45,0.2442748091603053
Random,0.4888888888888889,0.2923076923076923
Random,0.4944444444444444,0.3259259259259259
Random,0.4777777777777778,0.3088235294117647
Random,0.4611111111111111,0.2362204724409448
Random,0.4944444444444444,0.272
Random,0.5,0.3382352941176471
Random,0.4333333333333333,0.2608695652173913
Random,0.5333333333333333,0.2758620689655172
Random,0.5444444444444444,0.3278688524590163
Random,0.5277777777777778,0.3307086614173228
Random,0.55,0.3622047244094488
Random,0.4388888888888889,0.2406015037593984
Random,0.5111111111111111,0.3015873015873015
Random,0.5222222222222223,0.3174603174603174
Random,0.4611111111111111,0.2814814814814815
Random,0.4833333333333333,0.2900763358778626
Random,0.5111111111111111,0.2786885245901639
Random,0.4833333333333333,0.3007518796992481
Random,0.4777777777777778,0.3188405797101449
Random,0.5,0.2857142857142857
Random,0.5722222222222222,0.3739837398373983
Random,0.4944444444444444,0.2834645669291338
Random,0.4777777777777778,0.3285714285714285
Random,0.4722222222222222,0.2748091603053435
Random,0.5722222222222222,0.3739837398373983
Random,0.5611111111111111,0.3969465648854962
Random,0.5222222222222223,0.3768115942028985
Random,0.5166666666666667,0.2300884955752212
Random,0.5222222222222223,0.2950819672131147
Random,0.5222222222222223,0.3484848484848485
Random,0.5055555555555555,0.3206106870229007
Random,0.5333333333333333,0.34375
Random,0.5,0.25
Random,0.4555555555555555,0.2686567164179104
Random,0.5055555555555555,0.3407407407407407
Random,0.5277777777777778,0.3410852713178294
Random,0.5388888888888889,0.3140495867768595
Random,0.5166666666666667,0.2926829268292683
Random,0.5555555555555556,0.3939393939393939
Random,0.5444444444444444,0.3692307692307692
Random,0.5444444444444444,0.3387096774193548
Random,0.5166666666666667,0.2809917355371901
Random,0.4888888888888889,0.3333333333333333
